역명,호선,위도,경도,시청과의거리,주소
혜화,4호선,37.582116,127.001759,2.700322561720964,"학림다방, 119, 대학로, 대학로거리, 혜화동, 종로구, 서울, 03078, 대한민국"
한성대입구(삼선교),4호선,37.58838,127.006751,3.4931636601700276,"동소문로2길, 동소문동3가, 삼선동, 성북구, 서울, 02847, 대한민국"
성신여대입구(돈암),4호선,37.592782,127.017338,4.514234109101464,"2F DUNKIN DONUTS, 동소문로, 동선동4가, 동선동, 성북구, 서울, 02829, 대한민국"
길음,4호선,37.604087,127.025353,5.886411584829988,"삼양로, 길음동, 길음1동, 성북구, 서울, 02801, 대한민국"
미아사거리,4호선,37.613276,127.030083,6.91735536530185,"도봉로, 송중동, 강북구, 서울, 01179, 대한민국"
미아,4호선,37.626435,127.026151,7.882499146567878,"도봉로, 미아동, 강북구, 서울, 01133, 대한민국"
수유(강북구청),4호선,37.637127,127.024731,8.85029962152765,"도봉로, 번1동, 강북구, 서울, 01065, 대한민국"
쌍문,4호선,37.648274,127.034381,10.34394971438307,"도봉로, 쌍문3동, 도봉구, 서울, 01426, 대한민국"
창동,4호선,37.652993,127.046746,11.347680130675357,"77, 마들로11길, 창4동, 도봉구, 서울, 01418, 대한민국"
노원,4호선,37.656274,127.063183,12.469615553967767,"상계로, 상계2동, 노원구, 서울, 01752, 대한민국"
상계,4호선,37.660576,127.073199,13.388203360875824,"상계역 2번출구, 상계로, 상계동, 상계5동, 노원구, 서울, 01662, 대한민국"
당고개,4호선,37.66956,127.078404,14.456707796622931,"당고개, 덕릉로115다길, 상계3·4동, 노원구, 서울, 01633, 대한민국"
방화,5호선,37.577669,126.812822,14.627393502173407,"금낭화로, 방화동, 방화3동, 강서구, 서울, 07511, 대한민국"
개화산,5호선,37.572458,126.806838,15.117397835163475,"양서빌딩, 34, 양천로, 방화2동, 강서구, 서울, 07602, 대한민국"
김포공항,5호선,37.56217,126.801273,15.602558794839057,"김포공항, 하늘길, 방화2동, 강서구, 서울, 07612, 대한민국"
송정,5호선,37.561411,126.812052,14.656134557961778,"공항대로, 공항동, 강서구, 서울, 07622, 대한민국"
마곡,5호선,37.562182,126.82693,13.342388626161535,"마곡중앙3로, 마곡동, 공항동, 강서구, 서울, 07800, 대한민국"
발산,5호선,37.562182,126.82693,13.342388626161535,"마곡중앙3로, 마곡동, 공항동, 강서구, 서울, 07800, 대한민국"
우장산,5호선,37.548864,126.83633,12.660284661238169,"257, 강서로, 내발산동, 발산1동, 강서구, 서울, 07639, 대한민국"
화곡,5호선,37.541585,126.840436,12.45874451754989,"강서로, 화곡1동, 강서구, 서울, 07726, 대한민국"
까치산,5호선,37.53181,126.846706,12.220588467714569,"무인민원 발급기, 강서로, 화곡8동, 강서구, 서울, 07757, 대한민국"
신정(은행정),5호선,37.525001,126.856176,11.709923182529772,"오목로, 신정4동, 양천구, 서울, 07993, 대한민국"
목동,5호선,37.526088,126.864296,11.00576057072866,"목동로, 신정4동, 양천구, 서울, 07993, 대한민국"
오목교(목동운동장앞),5호선,37.524557,126.875049,10.224915016850796,"오목로, 목1동, 양천구, 서울, 08006, 대한민국"
양평,5호선,37.525614,126.886177,9.304891173497362,"양산로, 양평동2가, 양평1동, 영등포구, 서울, 07272, 대한민국"
영등포구청,5호선,37.524209,126.895022,8.71691010465044,"양산로, 당산동2가, 당산1동, 영등포구, 서울, 07264, 대한민국"
영등포시장,5호선,37.52276,126.905143,8.077027776384735,"대동빌딩, 73, 영중로, 영등포동, 영등포구, 영등포동7가, 07245, 대한민국"
신길,5호선,37.51763,126.914886,7.797263556506406,"경인로112길, 영등포동2가, 영등포동, 영등포구, 서울, 07316, 대한민국"
여의도,5호선,37.521578,126.924318,6.900444437463987,"여의도, 여의나루로, 여의동, 영등포구, 서울, 07328, 대한민국"
여의나루,5호선,37.527145,126.932807,5.937258755932503,"여의동, 영등포구, 서울, 07337, 대한민국"
마포,5호선,37.539718,126.946043,4.118607814100182,"마포대로, 14통, 도화동, 마포구, 서울, 04168, 대한민국"
공덕,5호선,37.544005,126.951058,3.468470580058169,"백범로, 43통, 공덕동, 마포구, 서울, 04146, 대한민국"
애오개,5호선,37.553592,126.956733,2.380998840138948,"마포대로, 아현동, 마포구, 서울, 04143, 대한민국"
충정로(경기대입구),5호선,37.560061,126.962783,1.5407008435774305,"충정로, 충정로3가, 충현동, 서대문구, 서울, 03737, 대한민국"
서대문,5호선,37.565812,126.966639,1.0229252437711929,"통일로, 미근동, 충현동, 서대문구, 서울, 03735, 대한민국"
광화문(세종문화회관),5호선,37.570545,126.976568,0.46332355008424686,"광화문광장, 세종대로, 서린동, 종로1·2·3·4가동, 종로구, 서울, 03154, 대한민국"
종로3가(탑골공원),5호선,37.572546,126.990447,1.2663670450883031,"서울 한양도성, 선잠로2다길, 성북동1가, 성북동, 성북구, 서울, 02880, 대한민국"
을지로4가,5호선,37.56658,126.998127,1.7559963850967757,"을지로, 을지로5가, 을지로동, 중구, 서울, 04546, 대한민국"
동대문역사문화공원,5호선,37.564682,127.00533,2.400233354435567,"마른내로, 광희동1가, 세운상가, 광희동, 중구, 서울, 04558, 대한민국"
청구,5호선,37.560237,127.01379,3.2150847844432517,"다산로, 4통, 신당동, 중구, 서울, 04598, 대한민국"
신금호,5호선,37.554504,127.020403,3.9548105071267017,"신금호역 4번출구, 금호로, 금호동1가, 금호1가동, 성동구, 서울, 04723, 대한민국"
행당,5호선,37.557297,127.029482,4.636348759423902,"행당로, 행당동, 행당2동, 성동구, 서울, 04713, 대한민국"
왕십리,5호선,37.56197,127.037264,5.230858187762067,"고산자로14길, 행당동, 행당1동, 성동구, 서울, 04744, 대한민국"
마장,5호선,37.566066,127.042921,5.704373383884955,"마장, 마장로, 마장동, 성동구, 서울, 02597, 대한민국"
답십리,5호선,37.566833,127.05266,6.562486921774876,"답십리, 천호대로, 용답동, 성동구, 서울, 02597, 대한민국"
장한평,5호선,37.561438,127.064601,7.636638999425573,"장한평, 장한로, 용답동, 성동구, 서울, 02633, 대한민국"
군자(능동),5호선,37.557102,127.079559,8.995854704024502,"군자, 능동로, 능동, 중곡2동, 광진구, 서울, 04919, 대한민국"
아차산(어린이대공원후문),5호선,37.552005,127.089609,9.952950164697576,"천호대로, 능동, 구의2동, 광진구, 서울, 04975, 대한민국"
광나루(장신대),5호선,37.545301,127.103478,11.293787903480494,"광나루, 천호대로, 광장동, 광진구, 서울, 04983, 대한민국"
천호(풍납토성),5호선,37.538566,127.123539,13.18537824246041,"천호대로, 성내2동, 강동구, 서울, 05329, 대한민국"
강동,5호선,37.53581,127.13249,14.025205059487053,"천호대로, 성내2동, 강동구, 서울, 05383, 대한민국"
길동,5호선,37.538022,127.140085,14.61982267591581,"양재대로, 길동, 강동구, 서울, 05373, 대한민국"
굽은다리(강동구민회관앞),5호선,37.545442,127.142844,14.702346930032258,"홈플러스, 1571, 양재대로, 천호1동, 강동구, 서울, 05306, 대한민국"
명일,5호선,37.551317,127.144002,14.712940667643421,"양재대로, 명일1동, 강동구, 서울, 05257, 대한민국"
고덕,5호선,37.555002,127.154214,15.567808355307463,"고덕로, 명일동, 명일2동, 강동구, 서울, 05235, 대한민국"
상일동,5호선,37.556714,127.166381,16.62298504332682,"고덕로, 상일1동, 강동구, 서울, 05224, 대한민국"
둔촌동,5호선,37.527787,127.136219,14.583531746013664,"양재대로, 성내3동, 강동구, 서울, 05376, 대한민국"
올림픽공원(한국체대),5호선,37.516217,127.130957,14.586066472366799,"올림픽프라자, 1222, 양재대로, 오륜동, 송파구, 서울, 05638, 대한민국"
방이,5호선,37.508752,127.126054,14.536165427757627,"양재대로, 방이1동, 송파구, 서울, 05638, 대한민국"
오금,5호선,37.502228,127.127701,14.999304127664914,"서울송파우체국, 323, 오금로, 오금동, 가락본동, 송파구, 서울, 05661, 대한민국"
개롱,5호선,37.498097,127.134817,15.770583255698329,"오금로, 오금동, 가락2동, 송파구, 서울, 05744, 대한민국"
거여,5호선,37.493208,127.143983,16.741502041880786,"496, 오금로, 거여1동, 송파구, 서울, 05772, 대한민국"
